iter	RMSE
0	1392.621631
1	1392.276939
2	1391.954133
3	1391.647411
4	1391.355972
5	1391.079057
6	1390.815943
7	1390.565943
8	1390.324887
9	1390.096166
10	1389.879152
11	1389.675692
12	1389.482383
13	1389.298719
14	1389.12422
15	1388.958428
16	1388.798804
17	1388.647357
18	1388.505285
19	1388.492284
20	1388.357904
21	1388.230235
22	1388.108942
23	1388.098166
24	1387.982515
25	1387.873523
26	1387.769253
27	1387.67089
28	1387.577444
29	1387.488109
30	1387.403355
31	1387.323234
32	1387.246823
33	1387.174508
34	1387.105809
35	1387.040545
36	1386.978545
37	1386.919644
38	1386.915017
39	1386.859192
40	1386.806226
41	1386.755909
42	1386.752189
43	1386.704559
44	1386.659312
45	1386.616389
46	1386.575541
47	1386.536737
48	1386.499967
49	1386.465083
50	1386.431989
51	1386.400592
52	1386.370805
53	1386.342202
54	1386.315032
55	1386.289222
56	1386.264979
57	1386.263552
58	1386.26219
59	1386.239007
60	1386.216985
61	1386.196067
62	1386.176197
63	1386.175117
64	1386.174086
65	1386.173101
66	1386.172159
67	1386.153469
68	1386.135715
69	1386.118851
70	1386.102833
71	1386.087617
72	1386.073541
73	1386.059789
74	1386.059173
75	1386.046139
76	1386.03414
77	1386.022358
78	1386.011543
79	1386.011106
80	1386.010689
81	1386.000076
82	1385.999695
83	1385.990073
84	1385.980944
85	1385.971817
86	1385.971541
87	1385.962885
88	1385.954663
89	1385.947265
90	1385.939825
91	1385.933158
92	1385.926424
93	1385.920415
94	1385.91432
95	1385.914177
96	1385.908394
97	1385.902902
98	1385.898031
99	1385.893057
100	1385.888334
101	1385.883847
102	1385.883753
103	1385.879496
104	1385.879409
105	1385.875669
106	1385.871817
107	1385.868447
108	1385.868388
109	1385.864901
110	1385.861588
111	1385.858442
112	1385.855454
113	1385.855407
114	1385.852818
115	1385.850111
116	1385.850075
117	1385.847506
118	1385.845066
119	1385.842966
120	1385.84294
121	1385.840728
122	1385.838628
123	1385.836634
124	1385.83474
125	1385.833121
126	1385.831586
127	1385.831571
128	1385.831557
129	1385.829917
130	1385.828539
131	1385.82705
132	1385.825637
133	1385.824457
134	1385.823173
135	1385.821954
136	1385.820796
137	1385.819697
138	1385.81969
139	1385.819684
140	1385.81864
141	1385.818634
142	1385.817773
143	1385.817769
144	1385.817765
145	1385.816817
146	1385.816813
147	1385.815913
148	1385.815179
149	1385.814482
150	1385.81382
151	1385.813071
152	1385.813069
153	1385.813068
154	1385.813066
155	1385.812354
156	1385.811678
157	1385.811142
158	1385.810633
159	1385.810043
160	1385.809483
161	1385.808951
162	1385.808446
163	1385.807967
164	1385.807511
165	1385.807157
166	1385.807156
167	1385.806741
168	1385.806347
169	1385.806044
170	1385.805685
171	1385.805412
172	1385.805084
173	1385.804774
174	1385.804773
175	1385.804772
176	1385.804476
177	1385.804254
178	1385.804253
179	1385.803984
180	1385.803728
181	1385.803486
182	1385.803255
183	1385.803036
184	1385.803035
185	1385.802872
186	1385.802672
187	1385.802483
