iter	Passed	Remaining
0	59	59024
1	59	29511
2	59	19684
3	59	14761
4	59	11802
5	59	9836
6	59	8430
7	59	7373
8	59	6552
9	59	5894
10	59	5357
11	59	4910
12	59	4529
13	59	4206
14	59	3924
15	59	3676
16	59	3459
17	59	3265
18	59	3091
19	59	2934
20	59	2794
21	59	2665
22	59	2547
23	60	2440
24	60	2341
25	60	2250
26	60	2166
27	60	2087
28	60	2015
29	60	1946
30	60	1883
31	60	1823
32	60	1767
33	60	1714
34	60	1665
35	60	1619
36	60	1575
37	60	1532
38	60	1493
39	60	1455
40	60	1418
41	60	1384
42	60	1351
43	60	1320
44	60	1290
45	60	1262
46	60	1234
47	60	1208
48	60	1183
49	60	1158
50	61	1135
51	61	1113
52	61	1092
53	61	1071
54	61	1051
55	61	1032
56	61	1013
57	61	995
58	61	978
59	61	961
60	61	945
61	61	929
62	61	914
63	61	899
64	61	885
65	61	871
66	61	857
67	61	844
68	61	832
69	61	819
70	61	807
71	61	795
72	61	784
73	61	773
74	61	763
75	61	752
76	61	742
77	61	732
78	61	722
79	62	713
80	62	704
81	62	696
82	62	688
83	62	680
84	62	672
85	62	664
86	62	656
87	62	648
88	62	641
89	62	633
90	62	626
91	62	619
92	62	612
93	62	605
94	62	599
95	62	592
96	62	586
97	63	580
98	63	574
99	63	567
100	63	561
101	63	556
102	63	550
103	63	544
104	63	539
105	63	534
106	63	528
107	63	523
108	63	518
109	63	513
110	63	508
111	63	503
112	63	499
113	63	494
114	63	490
115	63	485
116	63	481
117	63	477
118	63	473
119	63	469
120	64	465
121	64	461
122	64	457
123	64	453
124	64	449
125	64	445
126	64	441
127	64	437
128	64	434
129	64	430
130	64	427
131	64	423
132	64	420
133	64	417
134	64	413
135	64	410
136	64	407
137	64	404
138	64	401
139	64	398
140	64	395
141	64	391
142	64	388
143	64	386
144	64	383
145	64	380
146	65	377
147	65	374
148	65	372
149	65	369
150	65	366
151	65	364
152	65	361
153	65	359
154	65	356
155	65	353
156	65	351
157	65	349
158	65	346
159	65	344
160	65	342
161	65	339
162	65	337
163	65	335
164	65	332
165	65	330
166	65	328
167	65	326
168	65	324
169	66	322
170	66	320
171	66	318
172	66	316
173	66	314
174	66	312
175	66	310
176	66	308
177	66	306
178	66	304
179	66	303
180	66	301
181	66	300
182	66	298
183	66	296
184	66	294
185	67	293
186	67	291
187	67	289
188	67	288
189	67	286
190	67	284
191	67	283
192	67	281
193	67	280
194	67	278
195	67	277
196	67	275
197	67	273
198	67	272
199	67	270
200	67	269
201	67	268
202	67	266
203	67	265
204	68	263
205	68	262
206	68	260
207	68	259
208	68	258
209	68	256
210	68	255
211	68	253
212	68	252
213	68	251
214	68	249
215	68	248
216	68	247
217	68	246
218	68	244
219	68	243
220	68	242
221	68	241
222	68	239
223	68	238
224	68	237
225	68	236
226	69	235
227	69	233
228	69	232
229	69	231
230	69	230
231	69	229
232	69	228
233	69	227
234	69	226
235	69	225
236	69	224
237	69	223
238	69	222
239	69	221
240	69	220
241	70	219
242	70	218
243	70	217
244	70	216
245	70	215
246	70	214
247	70	213
248	70	212
249	70	211
250	70	210
251	70	209
252	70	208
253	70	207
254	70	206
255	70	205
256	70	204
257	70	203
258	70	202
259	70	201
260	70	200
261	71	200
262	71	199
263	71	198
264	71	197
265	71	196
266	71	195
267	71	194
268	71	194
269	71	193
270	71	192
271	71	191
272	71	190
273	71	189
274	71	189
275	71	188
276	71	187
277	71	186
278	71	186
279	72	185
280	72	184
281	72	183
282	72	182
283	72	182
284	72	181
285	72	180
286	72	179
287	72	179
288	72	178
289	72	177
290	72	177
291	72	176
292	72	175
293	72	174
294	72	174
295	72	173
296	72	172
297	73	172
298	73	171
299	73	170
300	73	170
301	73	169
302	73	168
303	73	168
304	73	167
305	73	166
306	73	166
307	73	165
308	73	164
309	73	164
310	73	163
311	73	162
312	73	162
313	73	161
314	73	160
315	73	160
316	74	159
317	74	158
318	74	158
319	74	157
320	74	157
321	74	156
322	74	155
323	74	155
324	74	154
325	74	153
326	74	153
327	74	152
328	74	152
329	74	151
330	74	151
331	74	150
332	74	149
333	74	149
334	74	148
335	75	148
336	75	147
337	75	147
338	75	146
339	75	146
340	75	145
341	75	144
342	75	144
343	75	143
344	75	143
345	75	142
346	75	142
347	75	141
348	75	141
349	75	140
350	75	140
351	75	139
352	75	139
353	75	138
354	76	138
355	76	137
356	76	137
357	76	136
358	76	136
359	76	135
360	76	135
361	76	134
362	76	134
363	76	133
364	76	133
365	76	132
366	76	132
367	76	131
368	76	131
369	76	130
370	76	130
371	76	129
372	76	129
373	76	128
374	77	128
375	77	127
376	77	127
377	77	127
378	77	126
379	77	126
380	77	125
381	77	125
382	77	124
383	77	124
384	77	123
385	77	123
386	77	123
387	77	122
388	77	122
389	77	121
390	77	121
391	78	121
392	78	120
393	78	120
394	78	119
395	78	119
396	78	118
397	78	118
398	78	118
399	78	117
400	78	117
401	78	116
402	78	116
403	78	116
404	78	115
405	78	115
406	78	114
407	78	114
408	78	114
409	79	113
410	79	113
411	79	112
412	79	112
413	79	112
414	79	111
415	79	111
416	79	111
417	79	110
418	79	110
419	79	109
420	79	109
421	79	109
422	79	108
423	79	108
424	79	108
425	79	107
426	80	107
427	80	107
428	80	106
429	80	106
430	80	105
431	80	105
432	80	105
433	80	104
434	80	104
435	80	104
436	80	103
437	80	103
438	80	103
439	80	102
440	80	102
441	80	102
442	80	101
443	81	101
444	81	101
445	81	100
446	81	100
447	81	100
448	81	99
449	81	99
450	81	99
451	81	98
452	81	98
453	81	98
454	81	97
455	81	97
456	81	97
457	81	96
458	82	96
459	82	96
460	82	96
461	82	95
462	82	95
463	82	95
464	82	94
465	82	94
466	82	94
467	82	94
468	82	93
469	82	93
470	82	93
471	82	92
472	83	92
473	83	92
474	83	91
475	83	91
476	83	91
477	83	90
478	83	90
479	83	90
480	83	90
481	83	89
482	83	89
483	83	89
484	83	88
485	83	88
486	83	88
487	83	88
488	83	87
489	84	87
490	84	87
491	84	86
492	84	86
493	84	86
494	84	86
495	84	85
496	84	85
497	84	85
498	84	85
499	84	84
500	84	84
501	84	84
502	84	83
503	84	83
504	85	83
505	85	83
506	85	82
507	85	82
508	85	82
509	85	81
510	85	81
511	85	81
512	85	81
513	85	80
514	85	80
515	85	80
516	85	80
517	85	79
518	85	79
519	85	79
520	85	79
521	85	78
522	86	78
523	86	78
524	86	77
525	86	77
526	86	77
527	86	77
528	86	76
529	86	76
530	86	76
531	86	76
532	86	75
533	86	75
534	86	75
535	86	75
536	86	74
537	86	74
538	86	74
539	86	74
540	87	73
541	87	73
542	87	73
543	87	73
544	87	72
545	87	72
546	87	72
547	87	72
548	87	71
549	87	71
550	87	71
551	87	71
552	87	70
553	87	70
554	87	70
555	87	70
556	87	69
557	87	69
558	87	69
559	88	69
560	88	68
561	88	68
562	88	68
563	88	68
564	88	67
565	88	67
566	88	67
567	88	67
568	88	67
569	88	66
570	88	66
571	88	66
572	88	66
573	88	65
574	88	65
575	88	65
576	89	65
577	89	65
578	89	64
579	89	64
580	89	64
581	89	64
582	89	63
583	89	63
584	89	63
585	89	63
586	89	62
587	89	62
588	89	62
589	89	62
590	89	62
591	89	61
592	89	61
593	89	61
594	89	61
595	90	61
596	90	60
597	90	60
598	90	60
599	90	60
600	90	59
601	90	59
602	90	59
603	90	59
604	90	59
605	90	58
606	90	58
607	90	58
608	90	58
609	90	58
610	90	57
611	90	57
612	90	57
613	91	57
614	91	57
615	91	56
616	91	56
617	91	56
618	91	56
619	91	56
620	91	55
621	91	55
622	91	55
623	91	55
624	91	55
625	92	54
626	92	54
627	92	54
628	92	54
629	92	54
630	92	53
631	92	53
632	92	53
633	92	53
634	92	53
635	92	53
636	92	52
637	92	52
638	92	52
639	92	52
640	92	52
641	92	51
642	93	51
643	93	51
644	93	51
645	93	51
646	93	50
647	93	50
648	93	50
649	93	50
650	93	50
651	93	49
652	93	49
653	93	49
654	93	49
655	93	49
656	93	48
657	93	48
658	93	48
659	93	48
660	93	48
661	94	48
662	94	47
663	94	47
664	94	47
665	94	47
666	94	47
667	94	46
668	94	46
669	94	46
670	94	46
671	94	46
672	94	45
673	94	45
674	94	45
675	94	45
676	94	45
677	94	45
678	94	44
679	94	44
680	95	44
681	95	44
682	95	44
683	95	43
684	95	43
685	95	43
686	95	43
687	95	43
688	95	43
689	95	42
690	95	42
691	95	42
692	95	42
693	95	42
694	95	42
695	95	41
696	95	41
697	95	41
698	95	41
699	96	41
700	96	40
701	96	40
702	96	40
703	96	40
704	96	40
705	96	40
706	96	39
707	96	39
708	96	39
709	96	39
710	96	39
711	96	39
712	96	38
713	96	38
714	96	38
715	97	38
716	97	38
717	97	38
718	97	37
719	97	37
720	97	37
721	97	37
722	97	37
723	97	37
724	97	36
725	97	36
726	97	36
727	97	36
728	97	36
729	97	36
730	97	35
731	97	35
732	97	35
733	97	35
734	97	35
735	98	35
736	98	35
737	98	34
738	98	34
739	98	34
740	98	34
741	98	34
742	98	34
743	98	33
744	98	33
745	98	33
746	98	33
747	98	33
748	98	33
749	98	32
750	98	32
751	98	32
752	98	32
753	99	32
754	99	32
755	99	31
756	99	31
757	99	31
758	99	31
759	99	31
760	99	31
761	99	31
762	99	30
763	99	30
764	99	30
765	99	30
766	99	30
767	99	30
768	100	30
769	100	29
770	100	29
771	100	29
772	100	29
773	100	29
774	100	29
775	100	28
776	100	28
777	100	28
778	100	28
779	100	28
780	100	28
781	100	28
782	100	27
783	100	27
784	100	27
785	100	27
786	100	27
787	101	27
788	101	27
789	101	26
790	101	26
791	101	26
792	101	26
793	101	26
794	101	26
795	101	25
796	101	25
797	101	25
798	101	25
799	101	25
800	101	25
801	101	25
802	101	24
803	101	24
804	101	24
805	101	24
806	101	24
807	102	24
808	102	24
809	102	23
810	102	23
811	102	23
812	102	23
813	102	23
814	102	23
815	102	23
816	102	22
817	102	22
818	102	22
819	102	22
820	102	22
821	102	22
822	102	22
823	102	21
824	102	21
825	103	21
826	103	21
827	103	21
828	103	21
829	103	21
830	103	21
831	103	20
832	103	20
833	103	20
834	103	20
835	103	20
836	103	20
837	103	20
838	103	19
839	103	19
840	103	19
841	103	19
842	103	19
843	103	19
844	104	19
845	104	18
846	104	18
847	104	18
848	104	18
849	104	18
850	104	18
851	104	18
852	104	18
853	104	17
854	104	17
855	104	17
856	104	17
857	104	17
858	104	17
859	104	17
860	104	16
861	104	16
862	105	16
863	105	16
864	105	16
865	105	16
866	105	16
867	105	16
868	105	15
869	105	15
870	105	15
871	105	15
872	105	15
873	105	15
874	105	15
875	105	14
876	105	14
877	105	14
878	105	14
879	105	14
880	105	14
881	106	14
882	106	14
883	106	13
884	106	13
885	106	13
886	106	13
887	106	13
888	106	13
889	106	13
890	106	13
891	106	12
892	106	12
893	106	12
894	106	12
895	106	12
896	106	12
897	106	12
898	106	12
899	106	11
900	107	11
901	107	11
902	107	11
903	107	11
904	107	11
905	107	11
906	107	11
907	107	10
908	107	10
909	107	10
910	107	10
911	107	10
912	107	10
913	107	10
914	107	10
915	107	9
916	107	9
917	107	9
918	107	9
919	108	9
920	108	9
921	108	9
922	108	9
923	108	8
924	108	8
925	108	8
926	108	8
927	108	8
928	108	8
929	108	8
930	108	8
931	108	7
932	108	7
933	108	7
934	108	7
935	108	7
936	108	7
937	109	7
938	109	7
939	109	6
940	109	6
941	109	6
942	109	6
943	109	6
944	109	6
945	109	6
946	109	6
947	109	6
948	109	5
949	109	5
950	109	5
951	109	5
952	109	5
953	109	5
954	110	5
955	110	5
956	110	4
957	110	4
958	110	4
959	110	4
